,y_11,y_12,y_13,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ADM2_EN,lat,long
146,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,0,0,1,Dagoreti,-1.3101,36.7575
147,High,Very High,Very High,Very High,High,Very High,Very High,No,0,Online business,3,0,0,Dagoreti,-1.3101,36.7575
148,Medium,High,High,High,High,High,High,No,0,Physical business,0,0,0,Dagoreti,-1.3101,36.7575
149,High,Medium,High,High,High,High,Medium,Yes,0,Physical business,1,0,0,Dagoreti,-1.3101,36.7575
150,Very High,Very High,High,Very High,High,Very High,Very High,Yes,0,Online business,0,0,0,Dagoreti,-1.3101,36.7575
151,High,High,High,High,Medium,High,Medium,No,0,Physical business,0,0,0,Dagoreti,-1.3101,36.7575
153,Low,Low,Very Low,Low,Very Low,Low,Low,No,0,Online business,4,0,1,Dagoreti,-1.3101,36.7575
154,Low,Low,Low,Low,Very Low,Low,Low,No,0,Online business,8,0,1,Dagoreti,-1.3101,36.7575
157,High,High,High,High,High,High,High,No,0,Online business,2,0,1,Dagoreti,-1.3101,36.7575
158,High,High,Medium,High,High,High,High,No,1,Physical business,1,0,1,Dagoreti,-1.3101,36.7575
159,Medium,Low,Low,Low,Low,Low,Medium,No,0,Physical business,2,0,1,Dagoreti,-1.3101,36.7575
160,Very High,High,High,High,High,High,High,No,0,Physical business,4,0,1,Dagoreti,-1.3101,36.7575
161,High,High,Medium,High,Medium,High,High,No,0,Physical business,4,0,1,Dagoreti,-1.3101,36.7575
162,High,High,Very High,High,Very High,High,High,Yes,0,Online business,0,0,1,Dagoreti,-1.3101,36.7575
167,Very High,Very High,Very High,Very High,High,High,High,Yes,3,Online business,3,0,0,Dagoreti,-1.3101,36.7575
168,High,High,High,High,High,High,High,Yes,0,Physical business,7,0,1,Dagoreti,-1.3101,36.7575
169,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Dagoreti,-1.3101,36.7575
174,Very High,High,High,High,High,Very High,High,No,0,Online business,0,0,1,Dagoreti,-1.3101,36.7575
176,High,Very High,Medium,High,Medium,High,High,Yes,0,Physical business,0,0,0,Dagoreti,-1.3101,36.7575
266,High,Medium,High,High,High,High,High,Yes,7,Online business,10,0,1,Dagoreti,-1.3101,36.7575
289,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Yes,8,Online business,10,0,1,Dagoreti,-1.3101,36.7575
600,Medium,Medium,High,Medium,High,High,High,Yes,3,Online business,3,0,1,Dagoreti,-1.3101,36.7575
601,High,High,High,High,High,High,High,Yes,3,Online business,3,0,0,Dagoreti,-1.3101,36.7575
48,Medium,High,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,6,0,1,Embakasi,-1.3203,36.8906
77,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,6,0,1,Embakasi,-1.3203,36.8906
78,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Embakasi,-1.3203,36.8906
79,Medium,Medium,Medium,Medium,High,High,Medium,No,0,Physical business,3,0,1,Embakasi,-1.3203,36.8906
80,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,2,0,1,Embakasi,-1.3203,36.8906
83,High,High,Very High,High,Very High,Very High,Very High,No,0,Physical business,3,0,0,Embakasi,-1.3203,36.8906
84,Very High,Very High,Very High,Very High,Very High,Very High,High,No,2,Physical business,3,1,1,Embakasi,-1.3203,36.8906
85,High,High,High,High,High,High,High,No,3,Online business,6,0,1,Embakasi,-1.3203,36.8906
86,High,High,High,High,High,High,High,No,3,Online business,8,1,1,Embakasi,-1.3203,36.8906
87,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
89,High,Medium,Very High,High,High,High,High,No,0,Online business,6,0,1,Embakasi,-1.3203,36.8906
90,Medium,Medium,High,Medium,High,High,High,No,5,Physical business,10,0,1,Embakasi,-1.3203,36.8906
91,Medium,Medium,High,Medium,High,High,High,No,3,Physical business,4,0,1,Embakasi,-1.3203,36.8906
92,High,High,High,High,Very High,High,High,No,0,Physical business,1,0,1,Embakasi,-1.3203,36.8906
94,Medium,Medium,High,Medium,High,High,High,No,0,Physical business,6,0,1,Embakasi,-1.3203,36.8906
95,Very High,Very High,High,Very High,High,Very High,High,No,18,Online business,18,1,1,Embakasi,-1.3203,36.8906
96,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Embakasi,-1.3203,36.8906
